Variable name,Type,I/O,Description
label,character*,I,Name of the value to be output
val,"integer, dimension(:,:), allocatable",I,"Value to be output In the case of a 3D grid, the type should be integer, dimension(:,:,:), allocatable."
ier,integer,O,Error code. 0 means success.
