変数名,型,I/O,内容
rid,integer,I,河川測量データのID
pointid,integer,I,横断線のID
set,integer,O,右岸延長線が登録されていたら1
directionx,double precision,O,右岸延長線の向きのX成分
direction,double precision,O,右岸延長線の向きのY成分
index,integer,O,右岸延長線の開始位置の標高データの番号
ier,integer,O,エラーコード。0なら成功
