変数名,型,I/O,内容
x,"double precision, dimension(:), allocatable",I,X座標
y,"double precision, dimension(:), allocatable",I,Y座標
z,"double precision, dimension(:), allocatable",I,Z座標
ier,integer,O,エラーコード。0なら成功
