optionvalの値,内容
IRIC_OPTION_CANCEL,iric_check_cancel_f を利用してキャンセルを検知できることをソルバに伝えます。
IRIC_OPTION_DIVIDESOLUTIONS,計算結果を複数のCGNSファイルに分割して保存する。
