Variable name,Type,I/O,Description
count,integer,I,The number of particles
x,"double precision, dimension(:), allocatable",I,x coordinate.
y,"double precision, dimension(:), allocatable",I,y coordinate.
ier,integer,O,Error code. 0 means success.
