変数名,型,I/O,内容
step,integer,I,ステップ数
label,character(*),I,名前
val,"double precision, dimension(:,:), allocatable",O,"値 (3次元格子の場合は dimension(:,:,:))"
ier,integer,O,エラーコード。0なら成功
