Name,Value,Required,Description
caption,String,Yes,String to be displayed on dialog
valueType,Refer to table below,Yes,Data type
name,String,,Identification name (in alphanumeric characters only). It is required only when the condition has multiple values.
axis,Refer to table below,,Specify on which side to show Y-axis.
axislog,true or false,,true when you want to make the vertical axis log
axisreverse,true or false,,true when you want to reverse the vertical axis
step,true or false,,true when you want to show the chart as bar chart
hide,true or false,,true when you want to hide the data from chart
